food_id,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),source
IND-0168,Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97,Indian Food Nutrition dataset provided by user
IND-0169,Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07,Indian Food Nutrition dataset provided by user
IND-0170,Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,173.94,15.17,0.61,74.25,38.35,Indian Food Nutrition dataset provided by user
IND-0171,Stuffed brinjal (Bharwa baingan),93.0,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11,Indian Food Nutrition dataset provided by user
IND-0172,Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42,Indian Food Nutrition dataset provided by user
IND-0173,Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,88.11,Indian Food Nutrition dataset provided by user
IND-0174,Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,157.34,105.2,1.08,58.44,127.01,Indian Food Nutrition dataset provided by user
IND-0175,Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49,Indian Food Nutrition dataset provided by user
IND-0176,Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,154.75,24.48,1.2,77.64,107.74,Indian Food Nutrition dataset provided by user
IND-0177,Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,149.51,23.62,1.2,77.64,109.24,Indian Food Nutrition dataset provided by user
IND-0178,Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56,Indian Food Nutrition dataset provided by user
IND-0179,Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45,Indian Food Nutrition dataset provided by user
IND-0180,Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6,Indian Food Nutrition dataset provided by user
IND-0181,Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,83.07,13.84,0.56,74.66,129.13,Indian Food Nutrition dataset provided by user
IND-0182,Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,104.51,29.31,0.83,64.05,250.89,Indian Food Nutrition dataset provided by user
IND-0183,Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,121.72,59.49,0.34,17.06,97.75,Indian Food Nutrition dataset provided by user
IND-0184,Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,108.61,19.31,0.65,38.6,57.76,Indian Food Nutrition dataset provided by user
IND-0185,Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,88.4,9.23,0.28,23.63,46.68,Indian Food Nutrition dataset provided by user
IND-0186,Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1.0,93.65,12.26,0.4,53.98,89.51,Indian Food Nutrition dataset provided by user
IND-0187,Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,92.85,15.46,0.34,43.56,90.4,Indian Food Nutrition dataset provided by user
IND-0188,Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,91.43,11.64,0.33,21.87,87.12,Indian Food Nutrition dataset provided by user
IND-0189,Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93,Indian Food Nutrition dataset provided by user
IND-0190,Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,95.89,28.39,0.39,35.58,67.83,Indian Food Nutrition dataset provided by user
IND-0191,Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,124.7,80.2,0.62,47.05,77.19,Indian Food Nutrition dataset provided by user
IND-0192,Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,123.36,24.61,0.83,71.44,76.8,Indian Food Nutrition dataset provided by user
IND-0193,Baked vegetables with spinach,77.79,6.93,3.22,4.03,2.09,2.33,122.85,78.63,1.16,78.95,223.29,Indian Food Nutrition dataset provided by user
IND-0194,Baked potato with skin,135.77,11.11,3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99,Indian Food Nutrition dataset provided by user
IND-0195,Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.78,2.23,118.2,85.59,0.76,51.68,90.43,Indian Food Nutrition dataset provided by user
IND-0196,Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.2,2.34,79.66,26.24,0.32,68.38,103.99,Indian Food Nutrition dataset provided by user
IND-0197,Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41,Indian Food Nutrition dataset provided by user
IND-0198,Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05,Indian Food Nutrition dataset provided by user
IND-0199,Methi chaman,475.62,2.78,1.54,50.91,1.79,0.53,54.94,60.57,0.63,63.26,141.85,Indian Food Nutrition dataset provided by user
IND-0200,Sarson ka saag,87.84,5.33,3.0,5.86,0.75,3.69,165.45,134.41,2.43,59.58,128.42,Indian Food Nutrition dataset provided by user
IND-0201,Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,2.59,1.02,58.95,9.85,0.27,14.11,32.14,Indian Food Nutrition dataset provided by user
IND-0202,Avial,124.56,8.47,2.46,8.94,3.83,5.44,81.5,31.9,1.01,94.64,108.12,Indian Food Nutrition dataset provided by user
IND-0203,Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75,Indian Food Nutrition dataset provided by user
IND-0204,Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,Indian Food Nutrition dataset provided by user
IND-0205,Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79,Indian Food Nutrition dataset provided by user
IND-0206,Methi malai paneer,194.98,8.15,7.34,14.76,6.0,1.47,221.16,183.96,0.77,13.6,73.86,Indian Food Nutrition dataset provided by user
IND-0207,Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,89.04,42.9,0.36,4.87,28.7,Indian Food Nutrition dataset provided by user
IND-0208,Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26,Indian Food Nutrition dataset provided by user
IND-0209,Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,117.12,Indian Food Nutrition dataset provided by user
IND-0210,Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34,Indian Food Nutrition dataset provided by user
IND-0211,Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34,Indian Food Nutrition dataset provided by user
IND-0212,Pea keema curry (Matar keema ki sabzi),133.0,6.24,8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14,Indian Food Nutrition dataset provided by user
IND-0213,Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6,Indian Food Nutrition dataset provided by user
IND-0214,Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46,Indian Food Nutrition dataset provided by user
IND-0215,Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51,Indian Food Nutrition dataset provided by user
IND-0216,Chicken yakhni,99.0,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24,Indian Food Nutrition dataset provided by user
IND-0217,Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3,Indian Food Nutrition dataset provided by user
IND-0218,Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,51.03,36.18,0.64,3.75,16.68,Indian Food Nutrition dataset provided by user
IND-0219,Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55,Indian Food Nutrition dataset provided by user
IND-0220,Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63,Indian Food Nutrition dataset provided by user
IND-0221,Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04,Indian Food Nutrition dataset provided by user
IND-0222,Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7,Indian Food Nutrition dataset provided by user
IND-0223,Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,158.0,44.33,0.9,39.53,182.73,Indian Food Nutrition dataset provided by user
IND-0224,Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,Indian Food Nutrition dataset provided by user
IND-0225,Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83,Indian Food Nutrition dataset provided by user
IND-0226,Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,223.75,12.97,0.66,55.19,51.55,Indian Food Nutrition dataset provided by user
IND-0227,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41,Indian Food Nutrition dataset provided by user
IND-0228,Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45,Indian Food Nutrition dataset provided by user
IND-0229,Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,156.94,11.11,0.56,7.22,35.19,Indian Food Nutrition dataset provided by user
IND-0230,Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,72.73,6.56,0.26,22.16,31.65,Indian Food Nutrition dataset provided by user
IND-0231,Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88,Indian Food Nutrition dataset provided by user
IND-0232,Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,Indian Food Nutrition dataset provided by user
IND-0233,Fish tikka,117.33,3.91,16.0,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62,Indian Food Nutrition dataset provided by user
IND-0234,Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55,Indian Food Nutrition dataset provided by user
IND-0235,"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13,Indian Food Nutrition dataset provided by user
IND-0236,Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,101.09,34.92,1.23,49.56,104.32,Indian Food Nutrition dataset provided by user
IND-0237,Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54,Indian Food Nutrition dataset provided by user
IND-0238,Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39,Indian Food Nutrition dataset provided by user
IND-0239,Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,64.92,61.03,1.12,51.75,123.62,Indian Food Nutrition dataset provided by user
IND-0240,Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,127.78,51.63,2.13,23.82,105.59,Indian Food Nutrition dataset provided by user
IND-0241,Sprouted moong salad,37.81,5.48,2.29,0.74,2.13,0.95,116.38,54.56,1.45,27.84,49.76,Indian Food Nutrition dataset provided by user
IND-0242,Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,77.5,32.37,0.86,85.7,99.67,Indian Food Nutrition dataset provided by user
IND-0243,Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,2.16,3.79,116.66,65.51,1.35,37.73,86.34,Indian Food Nutrition dataset provided by user
IND-0244,Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,3.94,1.32,125.01,25.61,0.99,58.78,52.72,Indian Food Nutrition dataset provided by user
IND-0245,Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,13.42,29.29,1.07,21.43,40.62,Indian Food Nutrition dataset provided by user
IND-0246,Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,29.87,37.0,0.63,22.99,41.98,Indian Food Nutrition dataset provided by user
IND-0247,Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,7.11,25.93,0.81,52.45,45.4,Indian Food Nutrition dataset provided by user
IND-0248,Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,5.98,0.97,165.21,120.62,0.26,15.04,34.77,Indian Food Nutrition dataset provided by user
IND-0249,Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,235.83,174.6,0.74,2.59,36.67,Indian Food Nutrition dataset provided by user
IND-0250,Sprouted moong raita,60.89,6.13,4.62,2.19,5.59,0.16,189.2,139.44,0.86,3.59,27.0,Indian Food Nutrition dataset provided by user
IND-0251,Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,188.37,138.26,0.23,4.76,39.49,Indian Food Nutrition dataset provided by user
IND-0252,Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,189.96,138.58,0.29,5.65,26.92,Indian Food Nutrition dataset provided by user
IND-0253,Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.0,1.99,4.93,1.39,180.79,142.57,1.04,19.29,95.51,Indian Food Nutrition dataset provided by user
IND-0254,Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,274.38,198.22,0.37,2.94,20.62,Indian Food Nutrition dataset provided by user
IND-0255,Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,183.37,132.31,0.34,15.33,27.03,Indian Food Nutrition dataset provided by user
IND-0256,Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,99.18,49.0,0.24,0.77,37.83,Indian Food Nutrition dataset provided by user
IND-0257,Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,42.98,108.91,0.21,5.2,24.9,Indian Food Nutrition dataset provided by user
IND-0258,Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,79.0,49.03,0.49,0.57,18.3,Indian Food Nutrition dataset provided by user
IND-0259,Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,77.9,48.16,0.5,0.51,19.06,Indian Food Nutrition dataset provided by user
IND-0260,Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,244.38,54.74,2.71,0.09,0.99,Indian Food Nutrition dataset provided by user
IND-0261,Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,16.24,75.57,0.17,5.06,19.54,Indian Food Nutrition dataset provided by user
IND-0262,Makhana kheer,107.85,12.88,3.31,5.0,11.54,0.11,23.4,111.64,0.28,5.06,23.77,Indian Food Nutrition dataset provided by user
IND-0263,Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.0,12.79,0.5,22.52,104.8,0.3,4.06,16.29,Indian Food Nutrition dataset provided by user
IND-0264,Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,22.66,105.99,0.34,4.06,17.54,Indian Food Nutrition dataset provided by user
IND-0265,Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,23.81,144.66,0.26,5.06,41.81,Indian Food Nutrition dataset provided by user
IND-0266,Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,22.67,102.74,0.24,17.36,33.51,Indian Food Nutrition dataset provided by user
IND-0267,Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,28.54,100.12,0.28,6.54,24.59,Indian Food Nutrition dataset provided by user
IND-0268,Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,25.19,101.75,0.3,23.92,36.87,Indian Food Nutrition dataset provided by user
IND-0269,Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,16.34,75.66,0.28,5.06,32.3,Indian Food Nutrition dataset provided by user
IND-0270,Phirni,116.12,16.11,3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,20.33,Indian Food Nutrition dataset provided by user
IND-0271,Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,1.28,11.77,0.65,0.05,7.96,Indian Food Nutrition dataset provided by user
IND-0272,Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46,Indian Food Nutrition dataset provided by user
IND-0273,Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,44.8,Indian Food Nutrition dataset provided by user
IND-0274,Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,83.04,35.77,1.45,0.0,24.67,Indian Food Nutrition dataset provided by user
IND-0275,Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,4.23,14.15,0.63,28.98,20.72,Indian Food Nutrition dataset provided by user
IND-0276,Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9,Indian Food Nutrition dataset provided by user
IND-0277,Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,11.19,110.4,1.51,0.03,34.53,Indian Food Nutrition dataset provided by user
IND-0278,Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,43.57,88.12,0.51,3.02,35.21,Indian Food Nutrition dataset provided by user
IND-0279,Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,47.13,95.32,0.54,3.02,35.21,Indian Food Nutrition dataset provided by user
IND-0280,Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,122.17,95.82,0.49,3.62,37.31,Indian Food Nutrition dataset provided by user
IND-0281,Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,36.79,84.24,0.47,4.06,43.75,Indian Food Nutrition dataset provided by user
IND-0282,Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26,Indian Food Nutrition dataset provided by user
IND-0283,Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,38.78,93.35,0.36,4.02,15.6,Indian Food Nutrition dataset provided by user
IND-0284,Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96,Indian Food Nutrition dataset provided by user
IND-0285,Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,50.73,59.81,0.56,12.9,32.11,Indian Food Nutrition dataset provided by user
IND-0286,Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,49.22,59.04,0.65,19.16,37.93,Indian Food Nutrition dataset provided by user
IND-0287,Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,56.73,70.6,0.58,1.3,30.71,Indian Food Nutrition dataset provided by user
IND-0288,Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,56.07,71.55,0.71,1.3,31.85,Indian Food Nutrition dataset provided by user
IND-0289,Pineapple souffle,196.14,15.52,8.06,11.72,13.45,0.0,59.17,67.23,0.61,1.0,29.66,Indian Food Nutrition dataset provided by user
IND-0290,Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22,Indian Food Nutrition dataset provided by user
IND-0291,Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,51.71,54.59,0.97,0.7,31.64,Indian Food Nutrition dataset provided by user
IND-0292,Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,19.62,51.38,0.35,42.76,110.68,Indian Food Nutrition dataset provided by user
IND-0293,Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,10.17,35.0,0.41,19.89,10.56,Indian Food Nutrition dataset provided by user
IND-0294,Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,56.45,34.95,0.53,25.28,28.72,Indian Food Nutrition dataset provided by user
IND-0295,Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,26.95,48.72,0.47,19.31,28.71,Indian Food Nutrition dataset provided by user
IND-0296,Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48,Indian Food Nutrition dataset provided by user
IND-0297,Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,23.97,111.86,0.2,5.04,18.69,Indian Food Nutrition dataset provided by user
IND-0298,Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92,Indian Food Nutrition dataset provided by user
IND-0299,Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,44.16,85.43,0.37,3.02,24.69,Indian Food Nutrition dataset provided by user
IND-0300,Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,37.83,226.11,0.87,0.3,60.43,Indian Food Nutrition dataset provided by user
IND-0301,Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,171.36,64.56,0.6,0.75,18.08,Indian Food Nutrition dataset provided by user
IND-0302,Bread and butter pudding,167.94,19.63,5.59,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41,Indian Food Nutrition dataset provided by user
IND-0303,Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,85.59,78.26,0.53,8.11,46.64,Indian Food Nutrition dataset provided by user
IND-0304,Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,74.52,26.05,0.68,9.66,15.44,Indian Food Nutrition dataset provided by user
IND-0305,Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,3.87,34.69,1.54,6.39,32.22,Indian Food Nutrition dataset provided by user
IND-0306,Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,16.66,49.24,0.18,5.6,10.2,Indian Food Nutrition dataset provided by user
IND-0307,Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64,Indian Food Nutrition dataset provided by user
IND-0308,Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,58.8,53.81,1.03,7.01,30.66,Indian Food Nutrition dataset provided by user
IND-0309,Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,54.11,60.19,1.08,0.9,30.6,Indian Food Nutrition dataset provided by user
IND-0310,Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,59.59,63.2,0.93,0.9,28.8,Indian Food Nutrition dataset provided by user
IND-0311,Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,31.65,355.78,1.5,0.05,23.94,Indian Food Nutrition dataset provided by user
IND-0312,Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,27.63,272.81,1.82,0.0,26.6,Indian Food Nutrition dataset provided by user
IND-0313,Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06,Indian Food Nutrition dataset provided by user
IND-0314,Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,39.32,466.48,2.12,0.0,23.85,Indian Food Nutrition dataset provided by user
IND-0315,Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,4.23,12.95,1.79,0.0,2.1,Indian Food Nutrition dataset provided by user
IND-0316,Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,13.02,160.71,1.47,0.0,32.38,Indian Food Nutrition dataset provided by user
IND-0317,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1,Indian Food Nutrition dataset provided by user
IND-0318,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21,Indian Food Nutrition dataset provided by user
IND-0319,Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,5.48,25.35,1.51,0.0,24.79,Indian Food Nutrition dataset provided by user
IND-0320,Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,18.55,631.82,8.94,0.0,18.17,Indian Food Nutrition dataset provided by user
IND-0321,Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,11.4,266.85,0.55,0.0,46.65,Indian Food Nutrition dataset provided by user
IND-0322,Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,24.97,104.94,0.2,8.0,18.19,Indian Food Nutrition dataset provided by user
IND-0323,Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,3.28,31.01,0.44,0.01,6.86,Indian Food Nutrition dataset provided by user
IND-0324,Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,15.09,67.32,0.39,0.02,16.44,Indian Food Nutrition dataset provided by user
IND-0325,Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,6.35,30.05,0.33,0.67,5.3,Indian Food Nutrition dataset provided by user
IND-0326,Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,71.04,76.47,0.37,0.86,7.61,Indian Food Nutrition dataset provided by user
IND-0327,Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12,Indian Food Nutrition dataset provided by user
IND-0328,Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,63.55,7.95,0.36,5.36,119.81,Indian Food Nutrition dataset provided by user
IND-0329,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,66.54,8.44,0.42,37.72,133.47,Indian Food Nutrition dataset provided by user
IND-0330,Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,65.35,9.55,0.46,21.46,143.18,Indian Food Nutrition dataset provided by user
IND-0331,Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51,Indian Food Nutrition dataset provided by user
IND-0332,Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,69.83,23.07,0.69,23.31,126.81,Indian Food Nutrition dataset provided by user
IND-0333,Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,75.37,9.55,0.47,0.01,121.37,Indian Food Nutrition dataset provided by user
IND-0334,Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11,Indian Food Nutrition dataset provided by user
IND-0335,Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43,Indian Food Nutrition dataset provided by user
IND-0336,Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02,Indian Food Nutrition dataset provided by user
IND-0337,Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,77.1,7.63,0.5,11.27,12.8,Indian Food Nutrition dataset provided by user
